Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12",0603,3,10u,C466781
"C10, C2, C3, C4, C5, C6, C7",0402,7,100n,C6119799
"C8, C9",0402,2,33p,C696910
D1,LED_Avago_PLCC4_3.2x2.8mm_CW,1,ASMB-MTB1-0A3A2,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
P1,TYPE-C-31-G-01,1,USB_C_Plug_USB2.0,C530605
"R1, R5",0402,2,10k,C60490
"R2, R3, R4",0402,3,4k7,C25940
R6,0402,1,R,
R7,0402,1,G,
R8,0402,1,B,
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Push,C318884
U2,DFN-8-1EP_3x2mm_P0.5mm_EP1.3x1.5mm,1,ATECC608B-MAHDA,C1518773
U3,SOT-23,1,MCP1700x-330xxTT,C39051
U4,SOT-23-6,1,USBLC6-2SC6,C7519
U6,LQFP-48_7x7mm_P0.5mm,1,STM32L433CBTx,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz,C720915
