Designator,Mid X,Mid Y,Rotation,Layer
C1,33.975,-5.79,0.0,top
C10,33.87,-3.45,270.0,top
C11,38.1,0.795,90.0,top
C12,31.41,-6.965,270.0,top
C2,35.33,-8.48,0.0,top
C3,33.3,-8.5,0.0,top
C4,35.38,-7.32,0.0,top
C5,33.35,-7.27,0.0,top
C6,36.18,-5.8,90.0,top
C7,22.56,-6.3,270.0,top
C8,15.86,-8.45,90.0,top
C9,15.75,-6.14,90.0,top
D1,18.05,-1.319999,90.0,top
J3,17.32,5.2,270.0,top
P1,41.69,-1.529999,90.0,top
R1,20.61,0.02,270.0,top
R2,32.63,2.18,180.0,top
R3,32.71,-1.94,90.0,top
R4,30.65,-9.13,0.0,top
R5,13.83,2.95,180.0,top
R6,20.4,-4.0,90.0,top
R7,20.4,-5.95,270.0,top
R8,20.4,-7.89,270.0,top
SW1,13.5,-1.289999,270.0,top
U2,34.67,0.34,90.0,top
U3,37.2625,-2.88,180.0,top
U4,30.0825,4.76,0.0,top
U6,26.8975,-2.15,0.0,top
Y1,13.08,-7.33,0.0,top
